,Toko,Alamat,Telepon
0,Super Indo Cirendeu,Jl. Cirendeu Raya No. 20 Pondok Cabe Jakarta Selatan,Tel 741 7041 / 741 7925 
1,Super Indo Cinere,"Cinere Mall, JL.Cinere Raya Jakarta Selatan",Tel 753 5401/ 753 5388 - 89
2,Super Indo Mampang,"Warung Buncit City Point, Jl. Mampang Prapatan Raya, Jakarta Selatan",Tel 794 6253 / 794 5909
3,Super Indo Pancoran,Jl. MT Haryono no.1 Pancoran Jak-Sel,Tel 837 00321 / 837 00633
4,Super Indo Kosambi,Jl.Raya Duri Kosambi No.38 Jakarta Barat,Tel 543 901 79
5,Super Indo Cileduk,JL. HOS Cokroaminoto Larangan Cileduk Tangerang,Tel 731 1827 / 731 1828
6,Super Indo Kelapa Dua,Jl. Pos Pengumben Jakarta Barat,Tel 536 78761- 62
7,Super Indo Sunrise,Jl.Arteri kedoya Blok XX No.6 Jakarta Barat,Tel 583 012 52 - 583 01060
8,Super Indo Daan Mogot,Jl. Daan Mogot No.61 Daan Mogot Jakarta Barat,Tel 566-0436 / 569 69813 / 56969912
9,Super Indo Intercon,Komp Taman Kebon Jeruk Blok A-2/No.12 Jl. Meruya Ilir Ja-Bar,Tel 586 6923 / 586 6949
10,Super Indo Kalimalang,JL.Raya Cemara Bekasi Jawa Barat,Tel 889 605 13- 15 
11,Super Indo Mall Metropolitan,"Metropolitan Mall, Jl. Raya Kalimalang, Bekasi",Tel 885 3956 / 884 8026 / 8845213 
12,Super Indo Cikampek,"Jl. Ahmad Yani No.76, Cikampek Kerawang 41731",Tel 0264 304 623 / 0264 304 622
13,Super Indo Tambun,"Jl. Raya Mustika Jaya No. 36 (Kota Legenda), Bekasi Timur",Tel 826 15322 / 826 15039
14,Super Indo Jati Kramat,"JL. Jatikramat, Kel.Jatikramat, Pondok Gede, Kotamadya Bekasi",Tel 849 912 22 / 849 911 63
15,Super Indo Cilegon,"Cilegon Super Mall, Jl. Raya Merak Simpang Tiga, Cilegon, Banten",Tel 0254 - 377 097 / 376 996
16,Super Indo Pamulang,Pamulang Permai Blok SH No.13 Pamulang Barat Ciputat Tangerang,Tel 741 3708 / 742 9576
17,Super Indo Bumi Serpong Damai,BSD Plaza Sektor 4 Bumi Serpong Damai Serpong Tangerang,Tel 537 1178 / 537 1186
18,Super Indo Ciputat,"JL. WR. Supratman, Kel. Cempaka Putih, Ciputat",Tel 741 32 77
19,Super Indo Bintaro,"Jl. Bintaro Utama B1/E 10-01 Pesanggrahan, Bintaro, Jakarta Selatan",Tel 738 81334 - 36 / 738 813 44
20,Super Indo Cilegon Center,"Jl. Ahmad Yani Km.3, Kel. Sukmajaya, Kec. Jombang, Cilegon - Banten",Tel 
21,Super Indo Taman Palem,"Permata Taman Palem Blok C-01, Cengkareng, Jakarta Barat",Tel 543 69 730 / 543 69 731/32
22,Super Indo Muara Karang,Muara Karang Raya No. 2 Jakarta Utara,Tel 669 7927 -- 669 7928 PABX
23,Super Indo Pantai Indah Kapuk,Centro Metro Broadway Blok B Pantai Kapuk Jakarta Utara,Tel 300 10294 / 300 10394
